id_be,id_be_akz,handelsname,pharmazeutischer_unternehmer,therapiegebiet,therapiegebiet_atc,therapeutisches_gebiet_text,orphan_drug,atmp,pat_gr_id,wirkstoff_inn,datum_beschluss,patientengruppe,zn_ausmass,zn_wahrscheinlichkeit,zvt_best,quelle_url
3,2011-04-15-D-003,Jevtana,Sanofi-Aventis Deutschland GmbH,onkologische Erkrankungen,Onkologie,Prostatakarzinom (onkologische Erkrankungen),False,False,7,Cabazitaxel,2012-03-29,"Patienten mit hormonrefraktärem metastasiertem Prostatakarzinom, die während oder nach einer Docetaxel-haltigen Chemotherapie progredient sind und für die eine erneute Behandlung mit Docetaxel nicht mehr infrage kommt",Gering,Hinweis,"Palliative Behandlung mit Dexamethason, Prednison, Prednisolon oder Methylprednisolon sowie ""Best Supportive Care"" (z.B. adäquate Schmerztherapie).",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/10/
3,2011-04-15-D-003,Jevtana,Sanofi-Aventis Deutschland GmbH,onkologische Erkrankungen,Onkologie,Prostatakarzinom (onkologische Erkrankungen),False,False,8,Cabazitaxel,2012-03-29,"Patienten mit hormonrefraktärem metastasiertem Prostatakarzinom, die nach einer Docetaxel-haltigen Chemotherapie progredient sind, grundsätzlich aber noch für eine adäquate Docetaxel-haltige Chemotherapie infrage kommen",Kein Zusatznutzen belegt,,Docetaxel in Kombination mit Prednison oder Prednisolon (Docetaxel-Retherapie).,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/10/
5,2011-04-15-D-024,Rapiscan,Rapidscan Pharma Solutions EU Ltd.,Sonstiges,Kardiologie,Myokardperfusionsaufnahmen (Sonstiges),False,False,12,Regadenoson,2012-03-29,"Erwachsene, nicht ausreichend körperlich belastbare Patienten, als pharmakologischer Stressauslöser für Myokardperfusionsaufnahmen (myocardial perfusion imaging, MPI) mit Radionukliden",Kein Zusatznutzen belegt,,Adenosin,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/22/
11,2011-06-15-D-009,Eliquis,Bristol-Myers Squibb GmbH & Co. KGaA / Pfizer Deutschland GmbH,Krankheiten des Blutes und der blutbildenden Organe,Kardiologie,Prophylaxe venöser thromboembolischer Ereignisse nach Hüft- oder Kniegelenksersatzoperationen (Krankheiten des Blutes und der blutbildenden Organe),False,False,22,Apixaban,2012-06-07,Patienten mit elektiver Kniegelenksersatzoperation,Kein Zusatznutzen belegt,,"Die zweckmäßige Vergleichstherapie zur peri- und postoperativen Primärprophylaxe tiefer Venenthrombosen nach elektiven Kniegelenksersatzoperationen sind diejenigen niedermolekularen Heparine, die für diese Indikation zugelassenen sind (z.B. Enoxaparin). Die Wirkstoffe sollen in den für den Schweregrad zugelassenen Dosierungen gegeben und patientenindividuell optimiert werden.",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/5/
11,2011-06-15-D-009,Eliquis,Bristol-Myers Squibb GmbH & Co. KGaA / Pfizer Deutschland GmbH,Krankheiten des Blutes und der blutbildenden Organe,Kardiologie,Prophylaxe venöser thromboembolischer Ereignisse nach Hüft- oder Kniegelenksersatzoperationen (Krankheiten des Blutes und der blutbildenden Organe),False,False,23,Apixaban,2012-06-07,Patienten mit elektiver Hüftgelenksersatzoperation,Gering,Hinweis,"Die zweckmäßige Vergleichstherapie zur peri- und postoperativen Primärprophylaxe tiefer Venenthrombosen nach elektiven Hüftgelenksersatzoperationen sind diejenigen niedermolekularen Heparine, die für diese Indikation zugelassenen sind (z.B. Enoxaparin). Die Wirkstoffe sollen in den für den Schweregrad zugelassenen Dosierungen gegeben und patientenindividuell optimiert werden.",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/5/
14,2011-07-27-D-012,Benlysta,GlaxoSmithKline GmbH & Co. KG,Krankheiten des Muskel-Skelett-Systems,Rheumatologie/Immunologie,Systemischer Lupus erythematodes (SLE) (Krankheiten des Muskel-Skelett-Systems),False,False,27,Belimumab,2012-08-02,"Erwachsene Patienten mit aktivem, Autoantikörper-positivem systemischem Lupus erythematodes (SLE), die trotz Standardtherapie eine hohe Krankheitsaktivität aufweisen",Beträchtlich,Hinweis,"optimierte Standardtherapie (Chloroquin/Hydroxychloroquin, nichtsteroidale Antirheumatika (NSAIDs), Glukokortikoide, Azathioprin, ggf. Cyclophosphamid) unter Berücksichtigung der zugelassenen Dosierungen und des jeweiligen Zulassungsstatus der Wirkstoffe.",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/7/
15,2011-07-29-D-013,Fampyra,Biogen Idec GmbH,Krankheiten des Nervensystems,Neurologie,Multiple Sklerose (Krankheiten des Nervensystems),False,False,28,Fampridin,2012-08-02,"Erwachsene Patienten mit Multipler Sklerose (MS) mit Gehbehinderung (EDSS 4-7), indiziert zur Verbesserung der Gehfähigkeit",Kein Zusatznutzen belegt,,Die zweckmäßige Vergleichstherapie zur Verbesserung der Gehfähigkeit von erwachsenen Patienten mit Multipler Sklerose (MS) ist Krankengymnastik entsprechend der Heilmittelrichtlinie unter der Voraussetzung einer optimierten MS-Standardtherapie (einschließlich einer symptomatischen Therapie mit gegebenenfalls Spasmolytika).,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/14/
16,2011-08-01-D-014,Yervoy,Bristol-Myers Squibb GmbH & Co. KGaA,onkologische Erkrankungen,Onkologie,Melanom (onkologische Erkrankungen),False,False,29,Ipilimumab,2012-08-02,"Erwachsene mit fortgeschrittenen (nicht resezierbaren oder metastasierten) Melanomen, die bereits zuvor eine Therapie erhalten haben",Beträchtlich,Hinweis,Best Supportive Care,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/16/
18,2011-08-01-D-018,Yellox,Bausch & Lomb/Dr. Mann Pharma,Augenerkrankungen,Ophthalmologie,bei postoperativer Entzündung am Auge nach Kataraktoperationen (Augenerkrankungen),False,False,30,Bromfenac,2012-01-19,Erwachsene Patienten mit postoperativer Augenentzündung nach Kataraktextraktion,Kein Zusatznutzen belegt,,Dexamethason Augentropfen,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/9/
20,2011-09-15-D-020,Esbriet,InterMune Deutschland GmbH,Krankheiten des Atmungssystems,Rheumatologie/Immunologie,idiopathische pulmonale Fibrose (Krankheiten des Atmungssystems),False,False,33,Pirfenidon,2012-03-15,Erwachsene Patienten mit leichter bis mittelschwerer idiopathischer pulmonaler Fibrose (IPF).,Nicht quantifizierbar,,,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/17/
22,2011-10-01-D-023,Zytiga,Janssen-Cilag GmbH,onkologische Erkrankungen,Onkologie,Prostatakarzinom (onkologische Erkrankungen),False,False,37,Abirateronacetat,2012-03-29,"Patienten mit metastasiertem kastrationsresistentem Prostatakarzinom, die während oder nach einer Docetaxel-haltigen Chemotherapie progredient sind und für die eine erneute Behandlung mit Docetaxel nicht mehr infrage kommt",Beträchtlich,Hinweis,"Palliative Behandlung mit Dexamethason, Prednison, Prednisolon oder Methylprednisolon sowie ""Best Supportive Care"" (z.B. adäquate Schmerztherapie).",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/19/
22,2011-10-01-D-023,Zytiga,Janssen-Cilag GmbH,onkologische Erkrankungen,Onkologie,Prostatakarzinom (onkologische Erkrankungen),False,False,38,Abirateronacetat,2012-03-29,"Patienten mit metastasiertem kastrationsresistentem Prostatakarzinom, die nach einer Docetaxel-haltigen Chemotherapie progredient sind, grundsätzlich aber noch für eine adäquate Docetaxel-haltige  Chemotherapie infrage kommen",Kein Zusatznutzen belegt,,Docetaxel in Kombination mit Prednison oder Prednisolon (Docetaxel-Retherapie),https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/19/
27,2012-01-15-D-026,Eviplera,Gilead Sciences GmbH,Infektionskrankheiten,,HIV-Infektion (Infektionskrankheiten),False,False,42,Emtricitabin/Rilpivirin/Tenofovirdisoproxil,2012-07-05,Nicht antiretroviral vorbehandelte (therapienaive) Erwachsene mit HIV-1-Infektion mit einer Viruslast von ≤ 100.000 HIV-1-RNA-Kopien/ml,Gering,Beleg,Efavirenz in Kombination mit zwei Nukleosid-/Nukleotidanaloga (Tenofovir plus Emtricitabin oder Abacavir plus Lamivudin),https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/26/
28,2012-01-15-D-027,Edurant,Janssen-Cilag GmbH,Infektionskrankheiten,Infektiologie,HIV-Infektion (Infektionskrankheiten),False,False,43,Rilpivirin,2012-07-05,Nicht antiretroviral vorbehandelte (therapienaive) Erwachsene mit HIV-1-Infektion,Gering,Beleg,Efavirenz in Kombination mit zwei Nukleosid-/Nukleotidanaloga (Tenofovir plus Emtricitabin oder Abacavir plus Lamivudin),https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/28/
29,2012-01-15-D-028,Edarbi,Takeda Pharma GmbH,Herz-Kreislauf-Erkrankungen,Kardiologie,Hypertonie (Herz-Kreislauf-Erkrankungen),False,False,44,Azilsartan Medoxomil,2012-03-15,Erwachsene Patienten mit essenzieller Hypertonie,Kein Zusatznutzen belegt,,,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/29/
32,2012-06-15-D-031,Signifor,Novartis Pharma GmbH,Stoffwechselkrankheiten,Endokrinologie,Hypophysendysfunktion (Stoffwechselkrankheiten),False,False,47,Pasireotid,2012-12-06,"Erwachsene mit Morbus Cushing, für die ein chirurgischer Eingriff keine Option ist oder bei denen ein chirurgischer Eingriff fehlgeschlagen ist",Gering,,,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/34/
